Area,Society,OWC_Code,Subsistence,Year of observation,Location,Location(type),Age of learner,Age group of learner,Number of learner,Age of model,Age group of model,Number of model,Transmission modes,Social relationship,Transmission bias,Learning process,Time spent,Perceived difficulty,Technology,Raw material,Access to raw material,Access to technology,Note,Reference
Western Africa,Kpelle,FD06,Horticulturalist,1968-1969,NA,NA,NA,NA,NA,NA,Adult,1,Vertical,mother-daughter,Kin-based,NA,NA,NA,net weaving,NA,NA,NA,Toolmakng skills are gendered,"Lancy, 1984: 141"
Western Africa,Kpelle,FD06,Horticulturalist,1968-1969,NA,NA,<7,infancy/early childhood,1,NA,Adult,1,Vertical,father-son,Kin-based,"observation, helping, and advice",NA,NA,trap making,NA,NA,Boys only?,By 16 the boy become an independent trapper,"Lancy, 1984: 141"
Western Africa,Mende,FC07,Horticulturalist,"1987-1988, 1990-1991",initiation,outdoor field,NA,adolescence,NA,NA,Adult,NA,NA,NA,NA,NA,NA,NA,furniture and agriculture equipment making,wood,NA,Boys only,women are not allowed to get involved in the initation,"Leach, 1994: 134"
Western Africa,Tallensi,FE11,Intensive agriculturalist,1934-1937,NA,NA,16,adolescence,NA,NA,NA,NA,NA,NA,NA,individual learning,NA,NA,"bow and arrows, leatherwork, the forging of tools and implements",Leather,NA,NA,An adolescent youth is already applying the deftness and skill acquired in juvenile play or in the arts and crafts of his boyhood to practical ends,"Fortes, 1938: 61"
Western Africa,Yoruba,FF62,Horticulturalist,1952,workshop,indoor,before 16,NA,1,NA,Adult,1,Vertical/Oblique,"father-son, uncle-nephew, brothers",Kin-based,Apprenticeship,NA,NA,blacksmith,Metal,NA,NA,It is possible to do apprenticeship with a non-kin with a fee,"Lloyd, 1953: 33"
East Asia,Okayama,AB43,Intensive agriculturalist,1950-1951,workshop,indoor,NA,NA,7-Jan,NA,Adult,1,Oblique,Unrelated individuals,Success-based,Apprenticeship,NA,Difficult,carpentry,Wood,NA,NA,Apprentice need to do chores for master as a fee.,"Cornell, 1956: 143-144"
North Asia,Yukaghir,RV03,Primarily hunter-gatherers,"1895-1896, 1901-1902",NA,NA,NA,NA,NA,NA,Adult,1,Vertical,father-son,Kin-based,NA,NA,NA,blacksmith,Metal,NA,restricted to sons,The blacksmith's status is as high as the shanman.,"Jochelson, 1975: 425"
South Asia,Bengali,AW69,Intensive agriculturalist,1970-1975,NA,NA,NA,NA,NA,NA,Adult,1,Vertical,father-son,Kin-based,NA,NA,NA,carpentry,wood,NA,NA,The boys prefered to working in factory compared with learning carpentery from their fathers,"Klass, 1978: 209-210"
Southeast Asia,Eastern Toraja,OG11,Horticulturalist,1892-1932,workshop,indoor,14-Dec,adolescence,1,NA,Adult,1,Vertical,father-son,Kin-based,help with preparation,NA,NA,blacksmith,metal,NA,NA,The son himself must present passion to be taught by the father,"Adriani and Kruijt, 1951: 624"
Southeast Asia,Ifugao,OA19,Intensive agriculturalist,NA,NA,NA,NA,NA,NA,"Adult and ""older sisters""",Adult,NA,Vertical/Oblique,"mother-daughter, sisters",Kin-based,helping and practice under supervision,a short period of time,NA,weaving,cotton,NA,restricted to women,The weaving tools are made by men.,"Lambrecht, 1958: 1"
