sccsn,Socialization,Marriage,Sexuality,FuneralsMourning,Gender,LawEthics,threat_fam,threat_path,complexity,Res_Hetero,pastoralism,huntergatherer,horticulture,agriculture,polygamy,latitude,longitude,Authoritarianism,MoralGod
43,3.875,3.875,4,,4,4,1.153340105,0.948290038,1.379577672,0,0,0,0,1,0,24.75,33,3,1
12,3.5,3.125,3.125,4,3.875,4,-0.161154893,0.540548036,0.554352746,0,0,0,0,1,1,0.33,32.5,4,0
57,2.25,3.25,3.75,3.25,3.75,3.25,-0.733676644,0.749822973,1.090855843,0,1,0,0,0,1,32,44,4,1
64,2,2.125,3,,1.5,2,-1.019855606,-0.179069544,0.289914443,0,0,0,0,1,,36.43,74.58,4,1
108,2.75,1.75,2.75,2.75,3.25,3.75,0.511874246,-0.466500138,-0.003358749,1,0,1,0,0,,6.28,169.49,4,0
138,2.75,2,3,3.625,1.5,2.125,-0.167942751,0.288587889,-0.974982638,0,0,1,0,0,1,42.63,-121.67,,0
156,1.25,3,,3.25,3,3.25,-0.700857933,0.79762393,-0.106902341,1,0,1,0,0,1,15,-83,,1
162,1,2.875,2,2.5,2,2.125,-0.375307768,-0.253964851,-0.816022682,1,0,1,0,0,1,9,-62,,1
1,,2.625,3,3.125,2.875,3.125,0.061283485,-1.063816404,-0.706395131,0,0,0,0,0,1,-27.5,17,,0
32,3,3,3,4,2,2.75,-0.64533393,1.242359017,-0.33340736,0,0,0,1,0,,9.27,34.67,,0
35,,,,,,3.25,0.168835709,-0.141346235,0.450348657,0,0,0,0,1,1,5.25,37.5,,0
53,,3.25,,3,3.25,2,0.550183907,-1.525051488,-0.709026959,0,0,1,0,0,0,41.4,-123.89,,0
71,2,1.75,3,3.25,1.75,2,-1.041574977,0.781123933,1.477324063,1,0,0,0,1,0,22,95.67,,0
76,2,1.125,2.5,3,1.375,2.125,-0.543711919,0.319888849,1.632900612,1,0,0,0,1,1,15,100,,0
83,2.25,1.75,1.25,3,2,2,-0.346866285,0.319888849,1.561765043,1,0,0,0,1,1,-7.7,112.22,,0
91,3.75,3.875,3.5,4,3.5,4,-0.049959455,-1.063816404,-1.039837042,0,0,1,0,0,1,-24.25,133.5,,0
99,1.25,3,2.75,3.75,3.25,3.25,0.179718439,0.319888849,-0.03754739,0,0,0,0,0,1,-6,155,,0
109,3,3.125,2.5,3,4,3.125,-0.148102243,0.319888849,-0.06140603,1,0,0,0,0,0,7.34,151.6,,0
117,3.75,3.75,3.25,4,3.75,3.75,0.330066544,0.781123933,1.632900612,0,0,0,0,1,0,35,136,,0
121,1.25,1,1,2.75,2.25,1,-0.033472,-1.063816404,-0.713048218,0,0,0,0,0,1,66,177,,0
141,,1.25,,,1.75,2,-0.167942751,-1.525051488,-0.169999075,1,0,0,0,1,1,47,-101,,0
159,3.25,,,,3.75,3.75,0.355904068,0.099372414,-0.548404965,0,1,0,0,0,1,11.92,-71.75,,0
182,1,1.75,,3,1.75,2.25,0.872869675,0.319888849,-0.658234995,1,0,1,0,0,1,-23,-58.5,,0
185,1,1,1.25,2.75,1.875,1.375,-0.027824186,-1.525051488,-0.858984668,0,0,1,0,0,1,-40.5,-68,,0
21,,3.75,2.875,3,2.625,2.375,0.943070615,1.242359017,0.757948767,0,0,0,1,0,1,13.75,-15.33,,1
24,3.25,3.75,,,3.25,3.75,-0.566441856,1.242359017,0.497050678,0,1,0,0,0,1,16.58,-1.67,,1
25,3.25,3.75,2.75,,2.75,3,0.152291597,0.319888849,-0.804228268,0,1,0,0,0,1,15,7.5,,1
29,4,3.75,2,2.25,3.25,3.25,-0.402274518,0.319888849,0.710004295,0,0,0,0,1,1,13.5,25.5,,1
47,2,3,3.875,,3.75,3,1.317389569,-0.141346235,1.496899947,0,0,0,0,1,0,39.33,34.25,,1
54,4,4,,4,4,3.75,1.046636135,-0.141346235,1.503170421,0,0,0,0,1,0,52.67,41.33,,1
55,,3.375,,3.875,1.875,3.125,0.113767872,-0.60258132,0.526689126,0,1,0,0,0,1,43,41,,1
59,3.25,4,,4,3.75,4,0.920475986,0.319888849,1.237306533,0,0,0,0,1,0,32.5,74,,1
154,,3,3.75,4,3,3.25,-1.385045831,0.781123933,0.029098324,0,0,0,1,0,1,18.25,-94.83,,1
160,3.875,3,2.25,4,3,3.875,1.366231611,1.242359017,1.152262058,0,0,0,0,1,1,18.83,-72.17,,1
66,3.625,2.25,,,1.5,3.125,0.29920483,-1.525051488,0.25812645,0,1,0,0,0,0,46,97,,
86,1.25,2,1.25,,1.25,2,-1.323919959,-0.60258132,-0.898276997,1,0,1,0,0,0,5,120,,
93,2,2.25,3,4,3,3.25,0.821359547,-0.60258132,-0.438936,0,0,0,0,1,1,-7.5,138.5,,
165,2.75,3,3,4,3,4,-0.211521926,0.319888849,-0.053113343,0,0,0,0,0,1,3.5,-55.75,,
