Area,Society,OWC_Code,Subsistence,Year of observation,Location,Location(type),Age of learner,Age group of learner,Number of learner,Age of model,Age group of model,Number of model,Transmission modes_cat,Social relationship,Transmission bias_cat,Learning process,Learning process_cat,Time spent,Technology_cat,Technology,Raw material,Note,Reference
Southwest and Basin,Hopi,NT09,Intensive agriculturalist,1932-1940,NA,NA,girls of 15,adolescence,NA,NA,adulthood,Single,Vertical,mother,Kin-based,taught,Interactive,NA,ornament making,plaque making,NA,NA,"Titiev, 1944: 20-21; Dennis, 1940: 85"
Southwest and Basin,Hopi,NT09,Intensive agriculturalist,1890-1940,NA,NA,little boys,NA,NA,NA,NA,NA,NA,NA,NA,individual learning,Individual,NA,trap making,trap making,Leather,NA,"Talayesva and Simmons, 1942: 54-55"
Southwest and Basin,Maricopa,NT43,Primarily hunter-gatherers,1929-1932,NA,NA,girl of 5,infancy and early childhood,NA,NA,adulthood,Single,Vertical,Mother,Kin-based,imitation,Observational,NA,pottery making,pottery making,Clay,NA,"Spier, 1933: 104; 323"
Southwest and Basin,Mescalero Apache,NT25,Hunter-gatherers,1958-1965; 1931-1936,NA,NA,boys of 12,middle childhood,NA,NA,adulthood,Single,Oblique,chief,Prestige-based,"taught, showing",Interactive,NA,weapon making,"hunting and wearing gear, bow and arrow, shield",NA,NA,"Boyer and Boyer, 1972: 60; Opler, 1969: 61-62"
Southwest and Basin,Mescalero Apache,NT25,Hunter-gatherers,1958-1965,NA,NA,boys of 12,middle childhood,NA,NA,NA,NA,NA,NA,NA,taught,Interactive,NA,ritual item making,ceremonial paraphernalia making,NA,NA,"Boyer and Boyer, 1972: 60"
Southwest and Basin,Mescalero Apache,NT25,Hunter-gatherers,1931-1936,NA,NA,boys,NA,NA,NA,adulthood,Single,Oblique,chief,Prestige-based,showing,Observational,NA,horse harnesses making,saddle making,NA,NA,"Opler, 1969: 61-62"
Southwest and Basin,Mescalero Apache,NT25,Hunter-gatherers,1931-1936,NA,NA,boys,NA,NA,NA,adulthood,Single,Oblique,chief,Prestige-based,showing,Observational,NA,rope making,rope making,Plant fiber,NA,"Opler, 1969: 61-62"
Southwest and Basin,Mescalero Apache,NT25,Hunter-gatherers,1931-1936,NA,NA,boys,NA,NA,NA,adulthood,Single,Oblique,chief,Prestige-based,showing,Observational,NA,horse harnesses making,quirts (whip) making,NA,NA,"Opler, 1969: 61-62"
Southwest and Basin,Mescalero Apache,NT25,Hunter-gatherers,1931-1936,NA,NA,boys,NA,NA,NA,adulthood,Single,Oblique,chief,Prestige-based,showing,Observational,NA,clothes making,head bonnet,NA,NA,"Opler, 1969: 61-62"
Southwest and Basin,Navajo,NT13,Agro-pastoralists,1938,workshop,indoor,boy of 14,adolescence,NA,NA,adulthood,Single,Vertical/Oblique,"father, other relatives",Kin-based,Apprenticeship/observation,Interactive,2 years or longer,metal working,silversmith,Metal,"In rare cases, it is possible to learn it from non-relative (2 out of 52). Women work as assistants in by grinding and polishing the turquoise, setting the stones. Other sources mentioned adults around 20 years old start formal learning. They do not like strangers watching when they work.","Adair, 1944: 87-91"
Southwest and Basin,Navajo,NT13,Agro-pastoralists,1963-1998,NA,NA,Boys,NA,NA,NA,NA,NA,NA,NA,NA,teaching,Interactive,NA,clothes making,moccasin making,NA,NA,"Bailey, 1942: 232"
Southwest and Basin,Navajo,NT13,Agro-pastoralists,1963-1998,NA,NA,Girls before 10,middle childhood,NA,NA,adulthood,NA,Vertical/Oblique,"mother, aunt, grandmother, older sisters, grandfather",Kin-based,"teaching and imitation, scaffolding",Interactive,NA,weaving,weaving,NA,"Respecting loom is part of the skill; every women know how to weave, but only a few of them know how to make fine rugs. Protracted learning. Children started to learn after they were old enough to herd the sheep and had learned to help wash the wool; children can learn from grandparent of different sex; model will make small version of loom to help learners learn weaving","Mitchell, 2001: 117, 170, 204; Bailey, 1942: 232; Shepardson and Hammond, 1970: 105-106; Mitchell, 1978: 157-158; Downs, 1972: 117"
Southwest and Basin,Navajo,NT13,Agro-pastoralists,1937-1938,NA,NA,Girls (5-6),infancy and early childhood,NA,NA,adulthood,Single,Vertical/Oblique,"grandmother, mother",Kin-based,"helping, imitation, correction",Interactive,NA,pottery making,pottery making,Clay,Learning from grandmother instead of mother is more common; between 11-15 girls started the more formal learning process?,"Tschopik, 1941: 46-47"
Southwest and Basin,Navajo,NT13,Agro-pastoralists,1937-1938,NA,NA,Girls (5-6),infancy and early childhood,NA,NA,adulthood,Single,Vertical/Oblique,"grandmother, mother",Kin-based,"helping, imitation, correction",Interactive,NA,basket making,basket making,Plant fiber,Learning from grandmother instead of mother is more common; between 11-15 girls started the more formal learning process?,"Tschopik, 1941: 46-47"
Southwest and Basin,Navajo,NT13,Agro-pastoralists,1957-1975,hogan,indoor,NA,NA,Multiple,NA,adulthood,Multiple,Oblique,grandparents,Kin-based,watching,Observational,NA,pottery making,pottery making,Clay,"""man who shouts"" is the grandfather here. Learners are involved in every steps","Mitchell, 1978: 157-158; Hartman, Musial and Trimble, 1987: 11; Mitchell, 2001: 118"
Southwest and Basin,Navajo,NT13,Agro-pastoralists,1978-1979,NA,NA,NA,NA,NA,NA,adulthood,NA,NA,relatives,Kin-based,"combination of watching, epxierment, teaching",Interactive,NA,ornament making,sandpainting,NA,"Their children usually learned to make sandpaintings by watching, while clan relatives or visitors were often shown the process more formally. Those people who began because of social obligations to the instructor tended to be taught more formally.","Parezo, 1982a: 78-79; Parezo, 1982b: 133"
Southwest and Basin,Navajo,NT13,Agro-pastoralists,1933-1958,NA,NA,boys of 13,adolescence,NA,NA,adulthood,Single,Vertical,father,Kin-based,NA,Interactive,NA,weapon making,arrow making,NA,NA,"Kluckhohn, Hill, and Kluckhohn, 1971: 36"
Southwest and Basin,O'odham ,NU79,Other subsistence combinations,1931-1935,NA,NA,girls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,basket making,basket making,Plant fiber,NA,"Underhill, 1939: 46"
Southwest and Basin,Tewa Pueblos,NT18,Intensive agriculturalist,1970-1972,house,indoor,Girls <10,middle childhood,NA,NA,adulthood,Single,Vertical/Oblique,"mother, grandmother, aunt",Kin-based,"teaching, experimenting, asking for help",Interactive,NA,pottery making,pottery making,Clay,The teaching is indirect and loose in style. Girls reaching 10 will be pressured to learn to make potteries,"Jacobs, 1995: 73; Whitman and Whitman, 1947: 46-48"
Southwest and Basin,Tewa Pueblos,NT18,Intensive agriculturalist,1936-1939,NA,NA,boys <10,middle childhood,NA,NA,adulthood,Single,Vertical,father,Kin-based,showing ,Observational,NA,clothes making,moccasins making,NA,boys also learn how decorate the pottery,"Whitman and Whitman, 1947: 46-48"
Southwest and Basin,Ute,NT19,Hunter-gatherers,1936-1937,NA,NA,girls of 8-9,middle childhood,NA,older siblings ,adulthood,Multiple,All,"older siblings, parents, parent's siblings, grandparents",Kin-based,imitation and formal instruction,Interactive,NA,raw material processing,hide making,NA,NA,"Opler, 1963: 131-132"
Southwest and Basin,Ute,NT19,Hunter-gatherers,1936-1937,NA,NA,girls of 8-9,middle childhood,NA,older siblings ,adulthood,Multiple,All,"older siblings, parents, parent's siblings, grandparents",Kin-based,imitation and formal instruction,Interactive,NA,clothes making,clothes making,NA,NA,"Opler, 1963: 131-132"
Southwest and Basin,Ute,NT19,Hunter-gatherers,1936-1937,NA,NA,girls of 8-9,middle childhood,NA,older siblings ,adulthood,Multiple,All,"older siblings, parents, parent's siblings, grandparents",Kin-based,imitation and formal instruction,Interactive,NA,basket making,basket making,NA,NA,"Opler, 1963: 131-132"
Southwest and Basin,Ute,NT19,Hunter-gatherers,1936-1937,NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,instruction,Interactive,NA,rope making,rope making,Plant fiber,NA,"Opler, 1963: 131-132"
Southwest and Basin,Western Apache,NT21,Primarily hunter-gatherers,NA,NA,NA,Girls,NA,NA,NA,NA,Multiple,Horizontal,playmates,Familiarity-based,play,Interactive,NA,weaving,weaving,Plant fiber,NA,"Basso, 1983: 474"
Southwest and Basin,Western Apache,NT21,Primarily hunter-gatherers,NA,NA,NA,girls of 5 or 6,infancy and early childhood,NA,NA,adulthood,Multiple,Vertical/Oblique,"mother, grandmother",Kin-based,taught,Interactive,NA,basket making,basket making,Plant fiber,NA,"Robert, 1929: 133, 142; Goodwin and Goodwin, 1942: 470-471"
Southwest and Basin,Western Apache,NT21,Primarily hunter-gatherers,1929-1969,NA,NA,boys of 9-11,middle childhood,NA,Oldest men,adulthood,Single,Oblique,old male relative,Mixed,NA,NA,NA,weapon making,bow and arrow making,NA,NA,"Goodwin and Basso, 1971: 226; Goodwin and Goodwin, 1942: 470-471"
Southwest and Basin,Western Apache,NT21,Primarily hunter-gatherers,"1939, 1941, 1946-1948",NA,NA,boys,NA,NA,Old man,adulthood,Single,Oblique,NA,NA,NA,NA,NA,trap making,trap making,NA,NA,"Buskirk, 1986: 119"
Southwest and Basin,Western Apache,NT21,Primarily hunter-gatherers,1929-1940,NA,NA,"girls during or 1 year before puberty, boys of 15, girls of 15",middle childhood,NA,NA,adulthood,Single,Vertical,mother,Kin-based,scaffolding and teaching,Interactive,NA,clothes making,"moccasins making, cloth making",NA,The pattern was marked on the buckskin and the girl told to cut along the lines so that she would make no mistake,"Goodwin and Goodwin, 1942: 470-471"
Southwest and Basin,Western Apache,NT21,Primarily hunter-gatherers,1929-1940,NA,NA,girls after first mensturation,middle childhood,NA,NA,adulthood,Single,Vertical,mother,Kin-based,"taught, imitation, practice",Interactive,NA,raw material processing,leatherwork,Leather,NA,"Goodwin and Goodwin, 1942: 470-471"
Southwest and Basin,Zuni,NT23,Intensive agriculturalist,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,family member,Kin-based,NA,NA,NA,pottery making,pottery making,Clay,Nowadays community school also teach pottery making,"Hardin, 1989: 154"
Australia,Aranda,OI08,Hunter-gatherers,NA,NA,NA,Boys early in life,NA,NA,NA,NA,NA,NA,NA,NA,schooled,Interactive,NA,woodworking,carpentry,Wood,NA,"Basedow, 1925: 85-86"
Australia,Aranda,OI08,Hunter-gatherers,NA,NA,NA,Boys early in life,NA,NA,NA,NA,NA,NA,NA,NA,schooled,Interactive,NA,weapon making,weapon making,Wood,NA,"Basedow, 1925: 85-86"
Australia,Tiwi,OI20,Hunter-gatherers,1928-1954,NA,NA,Young boys,NA,NA,Older boys,NA,Multiple,Horizontal,NA,NA,spending time together,Interactive,NA,weapon making,spear and throwing stick making,Wood,The learning process is reciprocal,"Hart, 1960: 49"
Australia,Tiwi,OI20,Hunter-gatherers,1928-1954,NA,NA,female children,NA,NA,Ederly women,adulthood,NA,Vertical/Oblique,family members in her own and her husband's household,Kin-based,NA,NA,NA,basket making,basket making,Plant fiber,Women laern from elderly women from her husband's household after marriage. Men are responsible for painting,"Hart, 1960: 49"
Melanesia,Kapauku,OJ29,Intensive agriculturalist,1954-1955,NA,NA,boy of 7,middle childhood,NA,NA,adulthood,NA,Vertical,father,Kin-based,teaching,Interactive,NA,weapon making,bow and arrow making,NA,"Before this age, they were raised in a mixed-gendered context","Pospisil, 1958: 40-41"
Melanesia,Kapauku,OJ29,Intensive agriculturalist,1954-1955,NA,NA,boy of 7,middle childhood,NA,NA,adulthood,NA,Vertical,father,Kin-based,teaching,Interactive,NA,rope making,rolling string on the thigh,NA,"Before this age, they were raised in a mixed-gendered context","Pospisil, 1958: 40-41"
Melanesia,Kapauku,OJ29,Intensive agriculturalist,1954-1955,NA,NA,"boy of 7, little girl",middle childhood,NA,Older boys,adulthood,NA,Vertical/Horizontal,"father, mother, playmates",Mixed,teaching,Interactive,NA,net making,net making,Plant fiber,"Before this age, they were raised in a mixed-gendered context","Pospisil, 1958: 40-43"
Melanesia,Kapauku,OJ29,Intensive agriculturalist,1954-1955,NA,NA,boy of 7,middle childhood,NA,NA,adulthood,NA,Vertical,father,Kin-based,teaching,Interactive,NA,ritual item making,roasting gourds for penis sheaths,NA,"Before this age, they were raised in a mixed-gendered context","Pospisil, 1958: 40-41"
