Area,Society,OWC_Code,Subsistence,Year of observation,Location,Location(type),Age of learner,Age group of learner,Number of learner,Age of model,Age group of model,Number of model,Transmission modes_cat,Social relationship,Transmission bias_cat,Learning process,Learning process_cat,Time spent,Technology_cat,Technology,Raw material,Note,Reference
Micronesia,Chuuk,OR19,Other subsistence combinations,1947-1951,NA,NA,girl in childhood,NA,NA,NA,adulthood,Single,Vertical,mother,Kin-based,working together,Interactive,4 month,fishing devices making ,fish net making,Plant fiber,The learner had health issue during her childhood,"Gladwin and Sarason, 1953: 398; Bollig, 1927: 96-97"
Micronesia,Chuuk,OR19,Other subsistence combinations,1947-1951,NA,NA,girl in childhood,NA,NA,NA,adulthood,Single,Vertical,mother,Kin-based,NA,NA,1 year,clothes making,clothes making,Plant fiber,The learner had health issue during her childhood,"Gladwin and Sarason, 1953: 398"
Micronesia,Chuuk,OR19,Other subsistence combinations,1947-1948,NA,NA,boy of 17,adulthood,Single,NA,adulthood,Single,Vertical,father,Kin-based,coworking,Interactive,NA,boat making,canoe making,Wood,The father encouraged son to learn,"Goodenough, 1951: 54-55; Fischer, 1950: 99-100"
Micronesia,Kiribati,OR06,Primarily hunter-gatherers,1963-1964,NA,NA,NA,NA,NA,NA,NA,NA,Vertical/Horizontal,parents or close friends,Mixed,NA,NA,NA,trap making,trap making,Plant fiber,NA,"Koch, 1986: 25-26"
Micronesia,Kiribati,OR06,Primarily hunter-gatherers,1963-1964,NA,NA,girls at an early age,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,clothes making,clothes making,NA,NA,"Koch, 1986: 132"
Micronesia,Marshallese,OR11,Other subsistence combinations,1976-1983,NA,NA,girl,NA,NA,NA,adulthood,Single,Oblique,"grandparents, mother, other adults",Kin-based,teach,Interactive,NA,mat making,mat weaving,Plant fiber,NA,"Carucci, 1987: 2-3; Carucci, 2007: 143-144; Spoehr, 1949: 212"
Micronesia,Marshallese,OR11,Other subsistence combinations,1976-1983,NA,NA,girl,NA,NA,NA,adulthood,Single,Oblique,"grandparents, mother, other adults",Kin-based,teach,Interactive,NA,ornament making,shaping other prized female goods,NA,NA,"Carucci, 1987: 2-3; Carucci, 2007: 143-144; Spoehr, 1949: 212"
Micronesia,Marshallese,OR11,Other subsistence combinations,1976-1983,NA,NA,young boy,NA,Multiple,NA,adulthood,Single,Vertical/Oblique,"grandfather, father, uncle",Kin-based,apprenticeship,Interactive,NA,boat making,canoe making,Wood,"Within the past 25 years, however, canoe building has been replaced by the manufacture of plywood motor boats","Carucci, 1987: 2-3; Carucci, 2007: 143-144; Mason, 1947: 107; Spoehr, 1949: 212"
Micronesia,Marshallese,OR11,Other subsistence combinations,1976-1983,NA,NA,young boy,NA,NA,NA,NA,Single,NA,NA,NA,instruction,Interactive,NA,rope making,cordage making,Plant fiber,The technology is disappearing among men under 40.,"Carucci, 1987: 4"
Micronesia,Marshallese,OR11,Other subsistence combinations,1946,NA,NA,NA,NA,NA,NA,adulthood,Multiple,Vertical/Oblique,parents and other adults,Mixed,association and instruction,Interactive,NA,clothes making,clothes making,NA,"In addition to handicraft, they also received education under the influence of Japan and the US. ","Mason, 1947: 107"
Micronesia,Ulithi,OR20,Other subsistence combinations,1947-1949,NA,NA,boys,NA,NA,older people at work,NA,NA,NA,NA,NA,observation,Observational,NA,rope making,rope making,Plant fiber,No formal instruction in economic skills,"Lessa, 1950: 212"
Micronesia,Woleai Region,OR21,Other subsistence combinations,1947-1948,NA,NA,girls starting to menstruate,middle childhood,NA,NA,adulthood,Single,Vertical/Oblique,"mother, other older women",Mixed,observation; asking for help,Interactive,NA,clothes making,clothes making,NA,Initiation cermony learning,"Burrows and Spiro, 1953: 288-289; Spiro, 1949: 146[2]"
Micronesia,Woleai Region,OR21,Other subsistence combinations,1947-1948,NA,NA,younger man,NA,NA,NA,adulthood,Single,Vertical/Oblique,older men,Success-based,asking for help,Interactive,NA,fishing devices making ,fish trap making,NA,NA,"Spiro, 1949: 146[2]"
Polynesia,Bau Fijians,OQ12,Primarily hunter-gatherers,1941-1961,NA,NA,NA,NA,NA,NA,NA,NA,Oblique,Master,Success-based,NA,NA,NA,weapon making,club making,Wood,There is a rich social aspect of this technology that include trible need and fighting need,"Tippet, 1968: 50-53"
Polynesia,Hawaiians,OV05,Other subsistence combinations,NA,NA,NA,boys,NA,NA,NA,adulthood,Multiple,Vertical/Oblique,"parents, grandparents",Kin-based,taught,Interactive,NA,clothes making,the making of implements for tapa (cloth) work,NA,heriditery skill,"Kamakau et al., 1968: 67"
Polynesia,Maori,OZ04,Primarily hunter-gatherers,Ca. 1920,NA,NA,girls after initiation,NA,NA,NA,NA,NA,Vertical/Oblique,Female relatives,NA,teaching,Interactive,NA,weaving,weaving,Plant fiber,Many more traditional knowledge are taught in initation school for boys; Weaving has ritual importance,"Firth, 1959: 189-190; Buck, 1952: 361-362"
Polynesia,Maori,OZ04,Primarily hunter-gatherers,Ca. 1920,NA,NA,girls after initiation,NA,NA,NA,NA,NA,Vertical/Oblique,Female relatives,NA,teaching,Interactive,NA,basket making,basket making,Plant fiber,Many more traditional knowledge are taught in initation school for boys; Weaving has ritual importance,"Firth, 1959: 189-190; Buck, 1952: 361-362"
Polynesia,Maori,OZ04,Primarily hunter-gatherers,Ca. 1910-1945,NA,NA,boys after initation,NA,NA,NA,adulthood,Single,Oblique,Unrelated individuals,Success-based,apprenticeship,Interactive,NA,woodworking,carving,Wood,The arrangements were usually made by the elders but sometimes the keen desire of a boy was recognized by a craftsman,"Buck, 1952: 361-362"
Polynesia,Maori,OZ04,Primarily hunter-gatherers,Ca. 1920,NA,NA,youngster,NA,NA,NA,adulthood,NA,Vertical/Oblique,NA,NA,helping,Interactive,NA,stoneworking,groundstone toolmaking(greenstone sawing),Stone,"youngsters were often enlisted to feed sandgrit and water to the cut, while the men sawed with their flint blades","Firth, 1959: 212"
Polynesia,Maori,OZ04,Primarily hunter-gatherers,Ca.1870-1920,NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,boat making,canoe making,Wood,NA,"Best, 1924: 24-25"
Polynesia,Maori,OZ04,Primarily hunter-gatherers,"1953-1959, 1981-1983",NA,NA,girls,NA,NA,NA,adulthood,Single,Oblique,grandparents,Kin-based,taught,Interactive,NA,fishing devices making ,hook making,NA,NA,"Metge, 1995: 184-185"
Polynesia,Maori,OZ04,Primarily hunter-gatherers,1936-1938,NA,NA,boys,NA,NA,NA,NA,NA,Horizontal/Oblique,sisters,Kin-based,taught,Interactive,NA,clothes making,knitting,NA,NA,"Hawthorn, 1944: 104"
Polynesia,Marquesas,OX06,Other subsistence combinations,1956-1958,NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,observation and helping,Interactive,NA,woodworking,woodworking,Wood,NA,"Suggs, 1963: 17-18"
Polynesia,Samoans,OU08,Horticulturalists,1925-1926,NA,NA,girls,NA,NA,Older women,adulthood,NA,Vertical/Oblique,older women in the household,Kin-based,train,Interactive,NA,weaving,weaving,Plant fiber,There is a step-wise approach of learning with increasing difficulty. They seldom finish a fine mat before 19 or 20,"Mead, 1928: 31-33"
Polynesia,Samoans,OU08,Horticulturalists,1925-1926,NA,NA,girls,NA,NA,Older women,adulthood,NA,Vertical/Oblique,older women in the household,Kin-based,train,Interactive,NA,clothes making,bark cloth making,Plant fiber,There is a step-wise approach of learning with increasing difficulty. They seldom finish a fine mat before 19 or 20,"Mead, 1928: 31-33"
Polynesia,Samoans,OU08,Horticulturalists,1926-1927,NA,NA,boys,NA,NA,older children,adulthood,Multiple,All,older men of the household and a few skilled boys,Mixed,taught,Interactive,NA,net making,net making,Plant fiber,women's skill are mostly trasmittted within household,"Mead, 1930: 39"
Polynesia,Samoans,OU08,Horticulturalists,1926-1927,NA,NA,boys,NA,NA,older children,adulthood,Multiple,All,older men of the household and a few skilled boys,Mixed,taught,Interactive,NA,trap making,trap making,NA,women's skill are mostly trasmittted within household,"Mead, 1930: 39"
Polynesia,Samoans,OU08,Horticulturalists,1926-1927,NA,NA,boys,NA,NA,older children,adulthood,Multiple,All,older men of the household and a few skilled boys,Mixed,taught,Interactive,NA,fishing devices making ,hook making,NA,women's skill are mostly trasmittted within household,"Mead, 1930: 39"
Polynesia,Samoans,OU08,Horticulturalists,1926-1927,NA,NA,boys,NA,NA,older children,adulthood,Multiple,All,older men of the household and a few skilled boys,Mixed,taught,Interactive,NA,miscellaneous,the carving of coconut shells and kava cups,Plant fiber,women's skill are mostly trasmittted within household,"Mead, 1930: 39"
Polynesia,Tikopia,OT11,Other subsistence combinations,1928-1929,NA,NA,boy before 12,middle childhood,NA,NA,NA,NA,NA,NA,NA,self-learning,Individual,NA,woodworking,woodworking,Wood,The learner's skill is much higher than his father and brother,"Firth, 1939: 114-115"
Polynesia,Tongans,OU09,Horticulturalists,1806-1910,NA,NA,girls,NA,NA,NA,NA,NA,NA,NA,NA,teaching,Interactive,NA,ornament making,suitable arts,NA,NA,"Mariner and Martin, 1818: 287-290"
Polynesia,Tongans,OU09,Horticulturalists,1806-1910,NA,NA,girls,NA,NA,NA,NA,NA,NA,NA,NA,teaching,Interactive,NA,general toolmaking,manufactures,NA,NA,"Mariner and Martin, 1818: 287-290"
Polynesia,Tongans,OU09,Horticulturalists,1938-1939,NA,NA,girls of 12-16,middle childhood,NA,NA,adulthood,Single,Vertical,mother,Kin-based,NA,NA,NA,mat making,mat making,Plant fiber,NA,"Beaglehole and Beaglehole, 1941: 47-48"
Polynesia,Tongans,OU09,Horticulturalists,1938-1939,NA,NA,girls at the time of marriage,adolescence,NA,NA,adulthood,Single,Vertical,mother,Kin-based,NA,NA,NA,clothes making,clothes making,NA,NA,"Beaglehole and Beaglehole, 1941: 47-48"
Polynesia,Tongans,OU09,Horticulturalists,1951-1952,NA,NA,girls of 10 or 12,middle childhood,NA,NA,NA,NA,NA,NA,NA,helping,Interactive,NA,weaving,plaitwork,Plant fiber,mandatory school attendance,"Koch and Schütze, 1955: 337-338"
Amazon and Orinoco,Amahuaca,SE06,Other subsistence combinations,1974-1977,NA,NA,boys before 10 (6-12),middle childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,weapon making,bow and arrow making,NA,NA,"Woodside, 2014: 301, 304"
Amazon and Orinoco,Amahuaca,SE06,Other subsistence combinations,1960-1961,NA,NA,girls before marriage,NA,NA,NA,adulthood,Single,Vertical,mother,Kin-based,teach,Interactive,NA,pottery making,pottery making,Clay,NA,"Dole, 1974: 3-4"
Amazon and Orinoco,Amahuaca,SE06,Other subsistence combinations,1960-1961,NA,NA,girls before marriage,NA,NA,NA,adulthood,Single,Vertical,mother,Kin-based,teach,Interactive,NA,hammock making,hammock making,Plant fiber,NA,"Dole, 1974: 3-4"
Amazon and Orinoco,Jivaro,SD09,Horticulturalists,"1956-1957, 1964, 1969",NA,NA,girls of six or older,middle childhood,NA,NA,adulthood,Single,Vertical,mother,Kin-based,imitation and experimenting,Observational,NA,pottery making,pottery making,Clay,"A boy who may be tempted to work with clay is discouraged by his father, who advises him not to touch it or else the boy's penis will one day stay soft and limp like a coil of clay.",Harner 1973: 92-93
Amazon and Orinoco,Jivaro,SD09,Horticulturalists,"1956-1957, 1964, 1969",house,indoor,boys of 6,middle childhood,NA,NA,adulthood,Single,Vertical,father,Kin-based,individual learning and encouragement,Individual,NA,basket making,basket making,Plant fiber,Individual learning starts from making miniatures,Harner 1973: 92-93
Amazon and Orinoco,Ndyuka,SR14,Horticulturalists,1948-1958,NA,NA,boys of 12 or 13,middle childhood,NA,NA,NA,NA,Vertical/Oblique,"guardian, older comrade",Kin-based,"observation, co-working, apprenticeship",Interactive,several years,boat making,boat making,Wood,gendered skills.,"Hurault and Winchell, 1961: 192, 194"
Amazon and Orinoco,Pume,SS19,Other subsistence combinations,1933-1934,NA,NA,toddler,infancy and early childhood,NA,NA,adulthood,NA,Vertical,father,Kin-based,accompanying father,Observational,NA,weapon making,bow and arrow making,NA,hunting here mainly means crocodile hunting,"Petrullo, 1939: 202"
Amazon and Orinoco,Pume,SS19,Other subsistence combinations,1933-1934,NA,NA,girls in babyhood,infancy and early childhood,NA,NA,adulthood,Single,Vertical,mother,Kin-based,participation,Interactive,NA,basket making,basket making,Plant fiber,NA,"Petrullo, 1939: 231"
Amazon and Orinoco,Pume,SS19,Other subsistence combinations,1933-1934,NA,NA,girls in babyhood,infancy and early childhood,NA,NA,adulthood,Single,Vertical,mother,Kin-based,participation,Interactive,NA,pottery making,pottery making,Clay,NA,"Petrullo, 1939: 231"
Amazon and Orinoco,Saramaca,SR15,Other subsistence combinations,1928-1929,NA,NA,boys,NA,NA,NA,adulthood,Single,Oblique,maternal uncle,Kin-based,observation and co-working,Interactive,NA,woodworking,woodworking,Wood,gendered skill,"Herskovits et al., 1934: 215"
Amazon and Orinoco,Shipibo,SE26,Horticulturalists,Ca. 1930s-1974,NA,NA,boy,NA,NA,NA,adulthood,Multiple,Vertical/Oblique,"father, grandfather",Kin-based,instruction and helping,Interactive,NA,boat making,canoe making,Wood,gendered skills,"Eakin, Lauriault, and Boonstra, 1986: 51"
Amazon and Orinoco,Shipibo,SE26,Horticulturalists,Ca. 1930s-1974,NA,NA,boy,NA,NA,NA,adulthood,Multiple,Vertical/Oblique,"father, grandfather",Kin-based,instruction and helping,Interactive,NA,weapon making,bow and arrow making,NA,gendered skills,"Eakin, Lauriault, and Boonstra, 1986: 51"
Amazon and Orinoco,Shipibo,SE26,Horticulturalists,Ca. 1930s-1974,NA,NA,girl,NA,NA,NA,adulthood,Single,Vertical,mother,Kin-based,"informal observation and imitation, working alongside",Observational,NA,ornament making,beadwork,NA,gendered skills,"Eakin, Lauriault, and Boonstra, 1986: 51"
Amazon and Orinoco,Shipibo,SE26,Horticulturalists,Ca. 1930s-1974,NA,NA,girl,NA,NA,NA,adulthood,Single,Vertical,mother,Kin-based,"informal observation and imitation, working alongside",Observational,NA,pottery making,pottery making,Clay,gendered skills,"Eakin, Lauriault, and Boonstra, 1986: 51"
Amazon and Orinoco,Shipibo,SE26,Horticulturalists,1975-1978,NA,NA,girl,NA,NA,NA,adulthood,Single,Vertical,mother,Kin-based,"no verbal instruction, guided motor learning",Interactive,NA,ornament making,textile painting,Plant fiber,NA,"Roe, 1980: 52"
Amazon and Orinoco,Siriono,SF21,Hunter-gatherers,1940-1941,NA,NA,boys of 8-12,middle childhood,NA,NA,adulthood,Single,Vertical,father,Kin-based,NA,NA,NA,weapon making,bow and arrow making,NA,They also learned how to repair bow and arrows,"Holmberg, 1950: 79-80"
Amazon and Orinoco,Tukano,SQ19,Other subsistence combinations,1968-1970,NA,NA,boys during initation,adolescence,Multiple,Elders,adulthood,NA,Oblique,elders,Prestige-based,teach,Interactive,a few days,basket making,basket making,Plant fiber,The initation itself is restrcited to men. Basketery has no gender restriction,"Hugh-Jones, 1979a: 86-87; Hugh-Jones, 1979b: 144"
Amazon and Orinoco,Tukano,SQ19,Other subsistence combinations,1968-1970,NA,NA,boys during initation,adolescence,Multiple,Elders,adulthood,NA,Oblique,elders,Prestige-based,teach,Interactive,a few days,ornament making,ornament making,NA,The initation itself is restrcited to men. Basketery has no gender restriction,"Hugh-Jones, 1979a: 86-87; Hugh-Jones, 1979b: 144"
Amazon and Orinoco,Tukano,SQ19,Other subsistence combinations,"1968-1970, 1939-1940",NA,NA,boys during initation,adolescence,Multiple,"Elders, age mate",adulthood ,Multiple,All,elders and deft age mate,Mixed,"teach, observation and helping",Interactive,a few days,fishing devices making ,"fish trap weaving, splint weirs, fish net",NA,The initation itself is restrcited to men. Basketery has no gender restriction,"Hugh-Jones, 1979a: 86-87; Hugh-Jones, 1979b: 144; Goldman, 1963: 55-56"
Amazon and Orinoco,Tukano,SQ19,Other subsistence combinations,"1968-1970, 1939-1940",NA,NA,boys during initation,adolescence,Multiple,"Elders, age mate",adulthood ,Multiple,All,elders and deft age mate,Mixed,"teach, observation and helping",Interactive,a few days,weapon making,"war weapons, bow and arrow making",NA,The initation itself is restrcited to men. Basketery has no gender restriction,"Hugh-Jones, 1979a: 86-87; Hugh-Jones, 1979b: 144; Goldman, 1963: 55-56"
Amazon and Orinoco,Tukano,SQ19,Other subsistence combinations,1939-1940,NA,NA,boys,NA,NA,"Elders, age mate",adulthood ,Multiple,All,elders and deft age mate,Mixed,observation and helping,Interactive,NA,boat making,canoe making,Wood,NA,"Goldman, 1963: 55-56"
Amazon and Orinoco,Warao,SS18,Hunter-gatherers,1954-1969,within the confines of the village,outdoor,"3/pre-puberty boys, adolescence/13",infancy and early childhood,Multiple,NA,adulthood,Single,Vertical/Oblique,father,Mixed,observation only-correction and instruction,Interactive,several weeks+5 years + 6/7 years,boat making,canoe making,Wood,"two stages. protracted learning process, when they reach 25 or 28 they started to learning supernatural aspect of canoe making","Wilbert, 1976: 323, 350; Wilbert, 1977: 23"
Amazon and Orinoco,Warao,SS18,Hunter-gatherers,1954-1969,NA,NA,postpuberty girls,adolescence,NA,NA,adulthood,Single,Vertical,mother,Kin-based,teach,Interactive,NA,hammock making,hammock making,Plant fiber,They are not alllowed to learn canoe making,"Wilbert, 1976: 318-319; Heinen, 1988: 105; Heinan, 1973: 469"
Central Andes,Aymara,SF05,Horticulturalists,1961-1962,NA,NA,little boys,NA,NA,NA,NA,NA,NA,NA,NA,individual learning,Individual,NA,toy making,toy making,NA,NA,"Hickman, 1971: 51-52"
Central Andes,Aymara,SF05,Horticulturalists,1961-1969,NA,NA,"boys, girls",NA,NA,NA,adulthood,Single,Vertical,"father, mother",Kin-based,model helping,Interactive,NA,weaving,weaving,Plant fiber,"The weaving technology itself has no gender restriction, but the weaving of specific objects could be gender specific","Buechler and Buechler, 1971: 25"
Central Andes,Aymara,SF05,Horticulturalists,1961-1969,NA,NA,boys,NA,NA,NA,adulthood,Single,Vertical,father,Kin-based,model helping,Interactive,NA,net making,net making,Plant fiber,"The weaving technology itself has no gender restriction, but the weaving of specific objects could be gender specific","Buechler and Buechler, 1971: 25"
Central Andes,Otavalo Quichua,SD16,Horticulturalists,1940-1941,house,indoor,girls before 14,adolescence,NA,NA,NA,NA,NA,NA,Kin-based,practice,Individual,NA,pottery making,pottery making,Clay,pottery making is a hereditary craft in certain families,"Parsons, 1945: 25"
Central Andes,Otavalo Quichua,SD16,Horticulturalists,1940-1941,NA,NA,girls,NA,NA,NA,adulthood,Single,Vertical,mother,Kin-based,taught,Interactive,NA,weaving,coiling,Plant fiber,NA,"Parsons, 1945: 25"
Central Andes,Saraguro Quichua,SD17,Agro-pastoralists,1962-1972,NA,NA,children,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,clothes making,clothes making,NA,NA,"Belote, 1983: 102-103"
Eastern South America,Bororo,SP08,Hunter-gatherers,1965-1967,NA,NA,boys before initation,NA,NA,NA,adulthood,Single,Vertical,father,Kin-based,taught,Interactive,NA,ornament making,ornament making,NA,NA,"Levak, 1974: 98-99"
Eastern South America,Bororo,SP08,Hunter-gatherers,1931,NA,NA,boys,NA,NA,NA,adulthood,NA,NA,NA,NA,taught,Interactive,NA,weapon making,bow and arrow making,NA,Not sure what is Biiju,"Petrullo, 1972: 173"
Eastern South America,Guarani,SM04,Other subsistence combinations,1946-1962,NA,NA,boys after voice change/8-10,middle childhood,NA,NA,NA,NA,Vertical,father-son,Kin-based,apprenticeship,Interactive,NA,miscellaneous,sieve making,Plant fiber,"During the pubery period, boys are not allowed to eat meat to avoid contanmination","Schaden and Lewinsóhn, 1962: 113-114; 96-97"
Eastern South America,Guarani,SM04,Other subsistence combinations,1946-1962,NA,NA,boys after voice change/8-10,middle childhood,NA,NA,NA,NA,Vertical,father-son,Kin-based,apprenticeship,Interactive,NA,basket making,the manufacture of adjó (carrying baskets),Plant fiber,"During the pubery period, boys are not allowed to eat meat to avoid contanmination","Schaden and Lewinsóhn, 1962: 113-114; 96-97"
Eastern South America,Guarani,SM04,Other subsistence combinations,1946-1962,NA,NA,boys after voice change/8-10,middle childhood,NA,NA,NA,NA,Vertical,father-son,Kin-based,apprenticeship,Interactive,NA,trap making,trap making,NA,"During the pubery period, boys are not allowed to eat meat to avoid contanmination","Schaden and Lewinsóhn, 1962: 113-114; 96-97"
Eastern South America,Guarani,SM04,Other subsistence combinations,1946-1962,NA,NA,boys after voice change/8-10,middle childhood,NA,NA,NA,NA,Vertical,father-son,Kin-based,apprenticeship,Interactive,NA,weaving,the technique of plaiting,Plant fiber,"During the pubery period, boys are not allowed to eat meat to avoid contanmination","Schaden and Lewinsóhn, 1962: 113-114; 96-97"
Eastern South America,Guarani,SM04,Other subsistence combinations,1946-1962,NA,NA,boys after voice change/8-10,middle childhood,NA,NA,NA,NA,Vertical,father-son,Kin-based,apprenticeship,Interactive,NA,general toolmaking,the manufacture of the most diverse artifacts,NA,"During the pubery period, boys are not allowed to eat meat to avoid contanmination","Schaden and Lewinsóhn, 1962: 113-114; 96-97"
Eastern South America,Guarani,SM04,Other subsistence combinations,1946-1962,NA,NA,adolescent girls,adolescence,NA,NA,adulthood,Multiple,Oblique,maternal or paternal grandmother,Kin-based,teach,Interactive,NA,clothes making,clothes making,NA,gendered skill,"Schaden and Lewinsóhn, 1962: 113-114"
Eastern South America,Guarani,SM04,Other subsistence combinations,1946-1962,NA,NA,adolescent girls,adolescence,NA,NA,adulthood,Multiple,Oblique,maternal or paternal grandmother,Kin-based,teach,Interactive,NA,hammock making,hammock making,Plant fiber,gendered skill,"Schaden and Lewinsóhn, 1962: 113-114"
Eastern South America,Guarani,SM04,Other subsistence combinations,1946-1962,NA,NA,adolescent girls,adolescence,NA,NA,adulthood,Multiple,Oblique,maternal or paternal grandmother,Kin-based,teach,Interactive,NA,ornament making,jewery making,NA,gendered skill,"Schaden and Lewinsóhn, 1962: 113-114"
Eastern South America,Guarani,SM04,Other subsistence combinations,1943,NA,NA,boys,NA,NA,NA,adulthood,Single,Vertical,father,Kin-based,teach,Interactive,NA,weapon making,bow making,NA,gendered skill,"Watson and Lillios, 1944: 13"
Eastern South America,Tapirape,SP22,Other subsistence combinations,"1939-1940, 1953, 1957, 1965",NA,NA,boy,NA,NA,NA,adulthood,NA,Vertical/Oblique,NA,NA,observation only,Observational,NA,weapon making,bow and straight arrow,NA,NA,"Wagley, 1977: 150"
Eastern South America,Tapirape,SP22,Other subsistence combinations,"1939-1940, 1953, 1957, 1965",NA,NA,boy,NA,NA,NA,adulthood,NA,Vertical/Oblique,NA,NA,observation only,Observational,NA,ritual item making,spirit mask making,NA,NA,"Wagley, 1977: 150"
Eastern South America,Tapirape,SP22,Other subsistence combinations,"1939-1953; 1939-1940, 1953, 1957, 1965",NA,NA,"men, boy",NA,NA,NA,adulthood,NA,Vertical/Oblique,NA,NA,observation only,Observational,NA,basket making,basket weaving,Plant fiber,NA,"Wagley, 1955: 104-105; Wagley, 1977: 150"
Eastern South America,Tupinamba,SO09,Primarily hunter-gatherers,NA,NA,NA,girls,NA,NA,NA,adulthood,Single,Vertical,mother,Kin-based,taught,Interactive,NA,raw material processing,spinning cotton,Plant fiber,NA,"Beierle, 2003: 6"
Eastern South America,Tupinamba,SO09,Primarily hunter-gatherers,NA,NA,NA,girls,NA,NA,NA,adulthood,Single,Vertical,mother,Kin-based,taught,Interactive,NA,hammock making,hammock making,Plant fiber,NA,"Beierle, 2003: 6"
Eastern South America,Tupinamba,SO09,Primarily hunter-gatherers,NA,NA,NA,girls,NA,NA,NA,adulthood,Single,Vertical,mother,Kin-based,taught,Interactive,NA,basket making,basket making,Plant fiber,NA,"Beierle, 2003: 6"
Eastern South America,Tupinamba,SO09,Primarily hunter-gatherers,NA,NA,NA,girls,NA,NA,NA,adulthood,Single,Vertical,mother,Kin-based,taught,Interactive,NA,pottery making,pottery making,Clay,NA,"Beierle, 2003: 6"
Eastern South America,Xavante,SP26,Primarily hunter-gatherers,"1958, 1962, 1964",bachelor's house,indoor,boys of 7-12,middle childhood,Multiple,NA,adulthood,Multiple,Oblique,older men,Kin-based,taught,Interactive,NA,weapon making,weapon making,NA,collective learning environment,"Maybury-Lewis, 1967: 111"
Eastern South America,Xavante,SP26,Primarily hunter-gatherers,"1958, 1962, 1964",bachelor's house,indoor,boys of 7-12,middle childhood,Multiple,NA,adulthood,Multiple,Oblique,older men,Kin-based,taught,Interactive,NA,mat making,sleeping mat,Plant fiber,collective learning environment,"Maybury-Lewis, 1967: 111"
Eastern South America,Xavante,SP26,Primarily hunter-gatherers,"1958, 1962, 1964",bachelor's house,indoor,boys of 7-12,middle childhood,Multiple,NA,adulthood,Multiple,Oblique,older men,Kin-based,taught,Interactive,NA,ritual item making,regalia (special clothes for formal ceremonies) making,NA,collective learning environment,"Maybury-Lewis, 1967: 111"
Northwestern South America,Chachi,SD06,Other subsistence combinations,1959-1960,monte,outdoor,boys 9-13,middle childhood,NA,NA,adulthood,Single,Vertical,father,Kin-based,accompanying father,Interactive,NA,boat making,canoe making,Wood,from earlier periods they start to play with drifting logs,"Altschuler, 1965: 15-16; Skoggard, 2012: 4"
Northwestern South America,Chachi,SD06,Other subsistence combinations,1908-1909,NA,NA,girls of 5 or 6,infancy and early childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pottery making,pottery making,Clay,gender skill,"Barrett, 1925: 41; Skoggard, 2012: 4"
Northwestern South America,Chachi,SD06,Other subsistence combinations,1908-1909,NA,NA,girls of 5 or 6,infancy and early childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,basket making,basket making,NA,gender skill,"Barrett, 1925: 41; Skoggard, 2012: 4"
Northwestern South America,Chachi,SD06,Other subsistence combinations,1908-1909,NA,NA,girls of 5 or 6,infancy and early childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,weaving,spinning and weaving,NA,gender skill,"Barrett, 1925: 41; Skoggard, 2012: 4"
Northwestern South America,Goajiro,SC13,Pastoralists,NA,NA,NA,girl during seclusion,middle childhood,Single,NA,adulthood,NA,Vertical/Oblique,mother or female caretaker (e.g. aunt),Kin-based,"instruction, helping",Interactive,1-5 years,weaving,weaving,NA,The time of seclusion is not explicitly described in the paper; boys receive instruction on economic skill from uncles,"Watson-Franke and Watson, 1986: 146-147; Watson, 1967: 8"
Northwestern South America,Goajiro,SC13,Pastoralists,1947,NA,NA,boys,NA,NA,NA,adulthood,Multiple,Oblique,"maternal uncle, head of Prestige",Mixed,indirect training,Interactive,NA,weapon making,weapon making,NA,Boys learn during the war,"Gutiérrez de Pineda and Muirden, 1950: 51-52; Watson, 1967: 5-6"
Northwestern South America,Goajiro,SC13,Pastoralists,NA,NA,NA,girls at first mensturation,middle childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hammock making,hammock making,NA,"Poor girls are secluded only a few weeks, rich girls up to 2 years","Armstrong and Métraux, 1948: 378-379"
Northwestern South America,Goajiro,SC13,Pastoralists,NA,NA,NA,girls,NA,NA,NA,adulthood,Single,Vertical,mother,Kin-based,helping,Interactive,NA,pottery making,pottery making,Clay,NA,"Watson, 1967: 5-6"
Northwestern South America,Kogi,SC07,Horticulturalists,NA,NA,NA,boys/girls of 6-12,middle childhood,NA,NA,adulthood,Single,Vertical/Oblique,"parents,priest",Mixed,teach,Interactive,NA,weaving,"to twist cabuyas, to weave on the loom",Plant fiber,Easy to learn,"Reichel-Dolmatoff, 1976: 281; Reichel-Dolmatoff and Muirden, 1951:137-138, 227-228"
Northwestern South America,Kogi,SC07,Horticulturalists,NA,NA,NA,male child,NA,NA,NA,adulthood,Single,Oblique,priest,Mixed,teach,Interactive,NA,pottery making,pottery making,Clay,Easy to learn,"Reichel-Dolmatoff, 1976: 281; Reichel-Dolmatoff and Muirden, 1951:137-138"
