pref_name_for_society,HRAF_name_ID,glottocode,latitude,longitude,X,market,urban,popdens,fixity,tech,writing
Gheg,Albanians (EG01),gheg1238,42,20.17,Present,NA,100-199 persons,26-100 persons  / sq. mile,Semisedentary,Metallurgy,True writing
Ancient Romans,Imperial Romans (EI09),lati1261,41.67,13.5,Present,NA,1000+ persons,100 persons / sq. mile,Sedentary,Multiple specialists,True writing
Spanish Basques,Basques (EX08),west1508,43.25,-1.67,Present,Supra-Regional,1000+ persons,5.1-25 persons/ sq. mile,Sedentary,Multiple specialists,True writing
Irish,Rural Irish (ER06),iris1253,53.5,-10,Present,Supra-Regional,400-999 persons,26-100 persons  / sq. mile,Sedentary,Multiple specialists,True writing
Sami,Saami (EP04),nort2671,68.7,21.5,Present,NA,< 100 persons,1-5 persons / sq. mile,Nomadic,Pottery or Loom,Mnemonic devices
Russians,Russians (RF10),russ1263,52.67,41.33,Present,Supra-Regional,1000+ persons,5.1-25 persons/ sq. mile,Sedentary,Multiple specialists,True writing
Armenians,Armenians (RJ01),nucl1235,40,44.5,Present,NA,400-999 persons,26-100 persons  / sq. mile,Sedentary,Multiple specialists,True writing
Kurd,Kurd (MA11),cent1972,36.5,44.5,Present,Outside Local,1000+ persons,100 persons / sq. mile,Sedentary,Multiple specialists,True writing
Abkhaz,Abkhazians (RI03),abkh1244,43.13,40.77,Present,NA,200-399 persons,26-100 persons  / sq. mile,Sedentary,Metallurgy,True writing
Turks,Turks (MB01),nucl1301,39.33,34.25,Present,Supra-Regional,400-999 persons,26-100 persons  / sq. mile,Sedentary,Multiple specialists,True writing
Rwala,Rwala Bedouin (MD04),east2690,33.25,38.5,Present,Supra-Regional,< 100 persons,< 1 person / sq. mile,Nomadic,Metallurgy,True writing
