pref_name_for_society,HRAF_name_ID,glottocode,latitude,longitude,X,market,urban,popdens,fixity,tech,writing
Tobelorese,Tobelo (OH18),tobe1252,2,127.94,Absent,NA,200-399 persons,5.1-25 persons/ sq. mile,Sedentary,Metallurgy,Mnemonic devices
Alorese,Alorese (OF05),abui1241,-8.33,124.67,Absent,NA,100-199 persons,100 persons / sq. mile,Sedentary,None,Mnemonic devices
Toradja,Eastern Toraja (OG11),pamo1252,-2,121,Present,NA,100-199 persons,5.1-25 persons/ sq. mile,Sedentary,Metallurgy,Mnemonic devices
Northern Aranda,Aranda (OI08),east2379,-24.25,133.5,Present,Supra-Regional,< 100 persons,< 1 person / sq. mile,Nomadic,None,Nonwritten records
Tiwi,Tiwi (OI20),tiwi1244,-11.38,131,Present,Supra-Regional,100-199 persons,< 1 person / sq. mile,Nomadic,None,Mnemonic devices
Mee,Kapauku (OJ29),ekar1243,-4,136,Absent,Supra-Regional,100-199 persons,100 persons / sq. mile,Sedentary,None,Mnemonic devices
Kwoma,Kwoma (OJ13),kwom1262,-4.17,142.67,Absent,Regional,200-399 persons,26-100 persons  / sq. mile,Sedentary,Pottery or Loom,Mnemonic devices
Kimam,Kimam (OJ82),kima1246,-7.5,138.5,Absent,NA,400-999 persons,< 1 person / sq. mile,Sedentary,None,None
Orokaiva,Orokaiva (OJ23),orok1269,-8.5,148,Present,Local,< 100 persons,1-5 persons / sq. mile,Sedentary,Pottery or Loom,None
Palauans,Belau (OR15),pala1344,7.5,134.5,Present,Supra-Regional,< 100 persons,26-100 persons  / sq. mile,Sedentary,Pottery or Loom,None
Makin,Kiribati (OR06),bana1287,3.38,172.99,Present,NA,200-399 persons,100 persons / sq. mile,Sedentary,None,None
Marshallese - Jaluit Atoll,Marshallese (OR11),rali1241,6.28,169.49,Present,Supra-Regional,100-199 persons,100 persons / sq. mile,Sedentary,None,Nonwritten records
Trukese,Chuuk (OR19),chuu1238,7.34,151.6,Present,Supra-Regional,200-399 persons,100 persons / sq. mile,Sedentary,Pottery or Loom,None
Yapese,Yapese (OR22),yape1248,9.52,138.16,Present,NA,100-199 persons,26-100 persons  / sq. mile,Sedentary,Pottery or Loom,Mnemonic devices
Siuai,Siwai (ON19),siwa1245,-6.76,155.45,Present,NA,< 100 persons,26-100 persons  / sq. mile,Sedentary,Pottery or Loom,Mnemonic devices
Trobriands,Trobriands (OL06),kili1267,-8.54,151.01,Present,Regional,100-199 persons,26-100 persons  / sq. mile,Sedentary,Pottery or Loom,None
Lesu,Lesu (OM24),nots1237,-2.71,151,Absent,NA,200-399 persons,5.1-25 persons/ sq. mile,Sedentary,None,Mnemonic devices
Manus,Manus (OM06),tita1241,-2.17,147.17,Absent,NA,200-399 persons,26-100 persons  / sq. mile,Sedentary,Pottery or Loom,Mnemonic devices
Mbau Fijians,Bau Fijians (OQ12),bauu1243,-18,178.58,Present,NA,1000+ persons,100 persons / sq. mile,Sedentary,Pottery or Loom,None
Bunlap,Sa (OO17),saaa1241,-15.95,168.22,Present,NA,< 100 persons,5.1-25 persons/ sq. mile,Sedentary,None,None
Ajie,Kanak (OP04),ajie1238,-21.33,165.67,Absent,Regional,< 100 persons,1-5 persons / sq. mile,Sedentary,Pottery or Loom,Mnemonic devices
Upolu Samoans,Samoans (OU08),samo1305,-13.94,-171.77,Present,NA,200-399 persons,100 persons / sq. mile,Sedentary,None,None
Tikopia,Tikopia (OT11),tiko1237,-12.29,168.83,Absent,Supra-Regional,400-999 persons,100 persons / sq. mile,Sedentary,None,None
Maori,Maori (OZ04),maor1246,-35.33,174.17,Present,Regional,100-199 persons,< 1 person / sq. mile,Sedentary,None,Nonwritten records
Marquesans,Marquesas (OX06),nort2845,-8.92,-140.17,Absent,NA,100-199 persons,26-100 persons  / sq. mile,Sedentary,None,Nonwritten records
DeneTha,Slavey (ND14),sout2959,62,-122,Present,NA,< 100 persons,< 1 person / sq. mile,Semisedentary,None,None
Copper Inuit,Copper Inuit (ND08),copp1244,68.72,-112.53,Present,NA,< 100 persons,< 1 person / sq. mile,Seminomadic,Metallurgy,None
Montagnais,Innu (NH06),mont1268,50,-74,Absent,Supra-Regional,100-199 persons,< 1 person / sq. mile,Seminomadic,None,Nonwritten records
Northern Saulteaux,Ojibwa (NG06),alba1270,52,-95.5,Present,NA,100-199 persons,< 1 person / sq. mile,Seminomadic,None,Nonwritten records
Kaska,Kaska (ND12),kask1239,60,-131,Absent,Supra-Regional,< 100 persons,< 1 person / sq. mile,Seminomadic,None,None
Mi'kmaq,Mi'kmaq (NJ05),mikm1235,46.99,-65,Absent,NA,< 100 persons,< 1 person / sq. mile,Seminomadic,None,Nonwritten records
Deg Xit'an,Ingalik (NA08),dege1248,62.5,-159.5,Absent,Regional,< 100 persons,< 1 person / sq. mile,Semisedentary,Pottery or Loom,Mnemonic devices
Aleut,Aleut (NA06),east2533,55,-162.85,Absent,Regional,200-399 persons,5.1-25 persons/ sq. mile,Semisedentary,None,None
Haida,Haida (NE09),nort2938,54,-132.5,Present,NA,100-199 persons,< 1 person / sq. mile,Semisedentary,Metallurgy,Nonwritten records
Twana,Southern Coast Salish (NR26),twan1247,47.43,-123.25,Present,Supra-Regional,< 100 persons,26-100 persons  / sq. mile,Seminomadic,Pottery or Loom,Mnemonic devices
Yurok,Yurok (NS31),yuro1248,41.5,-124,Present,Regional,< 100 persons,1-5 persons / sq. mile,Sedentary,None,Nonwritten records
Eyak,Eyak (NA07),eyak1241,60.5,-145,Absent,Supra-Regional,< 100 persons,< 1 person / sq. mile,Semisedentary,Pottery or Loom,None
Nuxalk,Nuxalk (NE06),bell1243,52.33,-126.5,Present,Regional,< 100 persons,1-5 persons / sq. mile,Sedentary,None,Mnemonic devices
Eastern Pomo,Pomo (NS18),east2545,39,-123,Present,Supra-Regional,200-399 persons,1-5 persons / sq. mile,Semisedentary,None,Nonwritten records
Southern Valley Yokuts,Yokuts (NS29),vall1251,35,-119.5,Present,Supra-Regional,200-399 persons,5.1-25 persons/ sq. mile,Semisedentary,None,None
Klamath,Klamath (NR10),klam1254,42.63,-121.67,Absent,NA,< 100 persons,< 1 person / sq. mile,Seminomadic,None,Mnemonic devices
Wadadokado,Northern Paiute (NR13),nort1551,43.5,-119,Absent,NA,100-199 persons,< 1 person / sq. mile,Seminomadic,None,Mnemonic devices
