Area,Society,OWC_Code,Subsistence,Year of observation,Location,Location(type),Age of learner,Age group of learner,Number of learner,Age of model,Age group of model,Number of model,Transmission modes,Transmission modes1,Social relationship,Transmission bias,Transmission bias1,Learning process,Learning process(type),Time spent,Perceived difficulty,Technology,Raw material,Function,Access to raw material,Genderedness,Confidence level of generedness judgement,Note,Reference
Western Africa,Igbo,FF26,Horticulturalists,"1951-1953, 1959-1960, 1966",NA,NA,girls before adolescence,middle childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pottery making,Clay,Utilitarian,NA,F,Low,NA,"Ottenberg, 1989: 121-122"
Western Africa,Igbo,FF26,Horticulturalists,1929-1932,NA,NA,boys 5-7,infancy and early childhood,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,taught,Interactive,NA,NA,mat making,Plant fiber,Utilitarian,NA,M,Low,NA,"Meek, 1970: 298"
Western Africa,Kpelle,FD06,Horticulturalists,"1968-1969, 1973",workshop/bush,indoor/outdoor,"8, 14, ages of seven and fifteen",middle childhood,1,NA,Adulthood,1,Horizontal/Oblique,Horizontal/Oblique,"Teacher, Peer friends, uncle",Kin-based/Success-based,Mixed,"make-believe play, Apprenticeship",Interactive,3-4 years,Difficult,blacksmithing,Metal,Utilitarian,NA,M,High,"Multi-staged learning; Appreticeship is not done with their parents and involves phsyical abuse. Before formal apprenticeship, there is a period of helping and watching. The make-believe play acitivty mimicing the blacksmith business help them get used to the social aspects of this technology, e.g., how to maintain a relationship with customer, but not its technical or ideological aspects. Children use models instead of real tools and artifacts. Conflicting records in terms of age, which could a result of staged learning; Formal poro bush school. The learning process is strictly kept as a secret.","Lancy, 1984: 89-90; 157-158; 161-162; Westerman, & Schütze, 1921: 292B"
Western Africa,Kpelle,FD06,Horticulturalists,1968-1969,NA,NA,mid-teen,adolescence,1,NA,Adulthood,1,Oblique,Oblique,unrelated individuals,Success-based,Success-based,apprenticeship,Interactive,3 years,NA,leather making,Animal fiber,Utilitarian,NA,M,Low,The learner was exposed to this skill when he was much younger from his uncle,"Lancy, 1984: 159"
Western Africa,Kpelle,FD06,Horticulturalists,"1967-1969, 1973",NA,NA,"12, 16, 21",middle childhood,1,NA,Adulthood,1,Vertical/Horizontal,Vertical/Horizontal,"father, Peer friends",Kin-based/Familiarity-based,Mixed,teaching by demonstration,Interactive,two weeks,NA,hammock weaving,Plant fiber,Utilitarian,NA,M,Low,"there need not be an expert present to see the influence exerted by society on the learner. In each of the previous cases, we see individuals acquiring weaving skills to enhance their own social participatio","Lancy, 1996: 154-155"
Western Africa,Kpelle,FD06,Horticulturalists,1914-1915 (4 Months),bush,outdoor field,ages of seven and fifteen,middle childhood,>1,NA,Adulthood,NA,Oblique,Oblique,Teacher,Success-based,Success-based,teaching,Interactive,4 years,NA,basket making,Plant fiber,Utilitarian,NA,M,Low,Formal poro bush school. The learning process is strictly kept as a secret.,"Westerman, & Schütze, 1921: 292B"
Western Africa,Kpelle,FD06,Horticulturalists,1914-1915 (4 Months),bush,outdoor field,ages of seven and fifteen,middle childhood,>1,NA,Adulthood,NA,Oblique,Oblique,Teacher,Success-based,Success-based,teaching,Interactive,4 years,NA,making sieves,Plant fiber,Utilitarian,NA,M,Low,Formal poro bush school. The learning process is strictly kept as a secret.,"Westerman, & Schütze, 1921: 292B"
Western Africa,Kpelle,FD06,Horticulturalists,1914-1915 (4 Months),bush,outdoor field,ages of seven and fifteen,middle childhood,>1,NA,Adulthood,NA,Oblique,Oblique,Teacher,Success-based,Success-based,teaching,Interactive,4 years,NA,making weirs,Wood,Utilitarian,NA,M,Low,Formal poro bush school. The learning process is strictly kept as a secret.,"Westerman, & Schütze, 1921: 292B"
Western Africa,Kpelle,FD06,Horticulturalists,1914-1915 (4 Months),bush,outdoor field,ages of seven and fifteen,middle childhood,>1,NA,Adulthood,NA,Oblique,Oblique,Teacher,Success-based,Success-based,teaching,Interactive,4 years,NA,carving dugouts,Wood,Utilitarian,NA,M,Low,Formal poro bush school. The learning process is strictly kept as a secret.,"Westerman, & Schütze, 1921: 292B"
Western Africa,Kpelle,FD06,Horticulturalists,1914-1915 (4 Months),bush,outdoor field,ages of seven and fifteen,middle childhood,>1,NA,Adulthood,NA,Oblique,Oblique,Teacher,Success-based,Success-based,teaching,Interactive,4 years,NA,carving mortars,Wood,Utilitarian,NA,M,Low,Formal poro bush school. The learning process is strictly kept as a secret.,"Westerman, & Schütze, 1921: 292B"
Western Africa,Kpelle,FD06,Horticulturalists,1914-1915 (4 Months),bush,outdoor field,ages of seven and fifteen,middle childhood,>1,NA,Adulthood,NA,Oblique,Oblique,Teacher,Success-based,Success-based,teaching,Interactive,4 years,NA,carving drums,Wood,NA,NA,M,Low,Formal poro bush school. The learning process is strictly kept as a secret.,"Westerman, & Schütze, 1921: 292B"
Western Africa,Kpelle,FD06,Horticulturalists,1914-1915 (4 Months),bush,outdoor field,ages of seven and fifteen,middle childhood,>1,NA,Adulthood,NA,Oblique,Oblique,Teacher,Success-based,Success-based,teaching,Interactive,4 years,NA,making game boards,Wood,Toy,NA,M,Low,Formal poro bush school. The learning process is strictly kept as a secret.,"Westerman, & Schütze, 1921: 292B"
Western Africa,Kpelle,FD06,Horticulturalists,"1968-1969, 1914-1915 (4 Months)",bush,outdoor field,ages of seven and fifteen,middle childhood,NA,NA,Adulthood,1,Vertical/Oblique,Vertical/Oblique,mother/Teacher,Kin-based/Success-based,Mixed,teaching,Interactive,4 years,NA,net making,Plant fiber,Utilitarian,NA,F,High,net weaving is exclusively a female task,"Lancy, 1984: 141; Westerman, & Schütze, 1921: 292B"
Western Africa,Kpelle,FD06,Horticulturalists,"1968-1969, 1914-1915 (4 Months)",bush,outdoor field,"<7, ages of seven and fifteen",middle childhood,1,NA,Adulthood,1,Vertical/Oblique,Vertical/Oblique,father/Teacher,Kin-based/Success-based,Mixed,"teaching, observation, helping, and advice",Interactive,4 years,NA,trap making,NA,Utilitarian,NA,M,High,"By 16 the boy become an independent trapper. Conflicting record between two sources, which could be the result of staged learning. Formal poro bush school. The learning process is strictly kept as a secret.","Lancy, 1984: 141; Lancy, 1996:160, 161-162; Germain and Granka, 1955: 23; Westerman, & Schütze, 1921: 292B"
Western Africa,Kpelle,FD06,Horticulturalists,1968-1969,NA,NA,boys at 9 and 10,middle childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,horn and baming (musical instrument) making,NA,NA,NA,NA,NA,The adults' horn are made of different raw materials,"Lancy, 1984: 228"
Western Africa,Kpelle,FD06,Horticulturalists,"1968-1969, 1914-1915 (4 Months)",bush,outdoor field,teenage girl of 16; ages of seven and fifteen,middle childhood,2,NA,Adulthood,1,Oblique,Oblique,Teacher,Success-based,Success-based,"teaching, demonstration and coworking",Interactive,4 years,NA,weaving,Plant fiber,Utilitarian,NA,Both,High,No explaination. Co-production. Formal poro bush school. The learning process is strictly kept as a secret.,"Lancy, 1984: 151; Westerman, & Schütze, 1921: 292B; Lancy, 1984: 150; Lancy, 1996: 164"
Western Africa,Kpelle,FD06,Horticulturalists,"1968-1969, 1914-1915 (4 Months)",bush,outdoor field,"boys earlier than 9, ages of seven and fifteen",middle childhood,NA,Older brother,adolescence,1,Horizontal/Oblique,Horizontal/Oblique,older brother,Kin-based/Success-based,Mixed,"observation and imitation, teaching",Interactive,4 years,NA,mat making,Plant fiber,Utilitarian,NA,M,High,starting from 13 they start to make more substantial mats; Formal poro bush school. The learning process is strictly kept as a secret.,"Lancy, 1984: 155; Westerman, & Schütze, 1921: 292B"
Western Africa,Kpelle,FD06,Horticulturalists,1968-1969,NA,NA,girl of 7,middle childhood,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,self-learning and teasing,Individual,NA,NA,spinning,Plant fiber,Utilitarian,NA,NA,NA,Mostly self-learning,"Lancy, 1984: 153"
Western Africa,Mende,FC07,Horticulturalists,"1987-1988, 1990-1991",initiation,outdoor field,NA,adolescence,NA,NA,Adulthood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,furniture making,Wood,Utilitarian,NA,M,High,women are not allowed to get involved in the initation,"Leach, 1994: 134"
Western Africa,Mende,FC07,Horticulturalists,"1987-1988, 1990-1991",initiation,outdoor field,NA,adolescence,NA,NA,Adulthood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,agriculture equipment making,Wood,Utilitarian,NA,M,High,women are not allowed to get involved in the initation,"Leach, 1994: 134"
Western Africa,Mende,FC07,Horticulturalists,1945-1946,bush,outdoor field,boys between 14 and 15,adolescence,>1,NA,Adulthood,>1,Oblique,Oblique,individual specialists,Success-based,Success-based,teaching,Interactive,a few months,NA,clothes making,Plant fiber,Utilitarian,NA,M,High,NA,"Little, 1951: 120-121"
Western Africa,Mende,FC07,Horticulturalists,1945-1946,bush,outdoor field,boys between 14 and 15,adolescence,>1,NA,Adulthood,>1,Oblique,Oblique,individual specialists,Success-based,Success-based,teaching,Interactive,a few months,NA,basket making,Plant fiber,Utilitarian,NA,M,High,NA,"Little, 1951: 120-121"
Western Africa,Mende,FC07,Horticulturalists,1945-1946,bush,outdoor field,boys between 14 and 15,adolescence,>1,NA,Adulthood,>1,Oblique,Oblique,individual specialists,Success-based,Success-based,teaching,Interactive,a few months,NA,net making,Plant fiber,Utilitarian,NA,M,High,NA,"Little, 1951: 120-121"
Western Africa,Mende,FC07,Horticulturalists,1945-1946,bush,outdoor field,boys between 14 and 15,adolescence,>1,NA,Adulthood,>1,Oblique,Oblique,individual specialists,Success-based,Success-based,teaching,Interactive,a few months,NA,trap making,NA,Utilitarian,NA,M,High,NA,"Little, 1951: 120-121"
Western Africa,Mossi,FA28,Intensive agriculturalist,Ca. 1910,NA,NA,boys,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,teaching,Interactive,NA,NA,mat plaiting and weaving,Plant fiber,Utilitarian,NA,NA,NA,More specialized skills are also passed down to sons,"Mangin, Brunel, and Skinner, 1921: 44"
Western Africa,Tallensi,FE11,Intensive agriculturalist,1934-1937,NA,NA,16,adolescence,NA,NA,NA,NA,NA,NA,NA,NA,NA,individual learning,Individual,NA,NA,weapons making,NA,Utilitarian,NA,NA,NA,An adolescent youth is already applying the deftness and skill acquired in juvenile play or in the arts and crafts of his boyhood to practical ends,"Fortes, 1938: 61"
Western Africa,Tallensi,FE11,Intensive agriculturalist,1934-1937,NA,NA,16,adolescence,NA,NA,NA,NA,NA,NA,NA,NA,NA,individual learning,Individual,NA,NA,leatherwork,Leather,Utilitarian,NA,NA,NA,An adolescent youth is already applying the deftness and skill acquired in juvenile play or in the arts and crafts of his boyhood to practical ends,"Fortes, 1938: 61"
Western Africa,Tallensi,FE11,Intensive agriculturalist,1934-1937,NA,NA,16,adolescence,NA,NA,NA,NA,NA,NA,NA,NA,NA,individual learning,Individual,NA,NA,the forging of tools and implements,Metal,Utilitarian,NA,NA,NA,An adolescent youth is already applying the deftness and skill acquired in juvenile play or in the arts and crafts of his boyhood to practical ends,"Fortes, 1938: 61"
Western Africa,Tallensi,FE11,Intensive agriculturalist,1934-1937,NA,NA,"between the ages of
about 8 and 11",middle childhood,NA,NA,NA,NA,Horizontal,Horizontal,friends,Familiarity-based,Familiarity-based,group play,Interactive,NA,NA,reedware plaiting,Plant fiber,Utilitarian,NA,Both,High,practiced by both genders. It has seasonal feature,"Fortes, 1938: 60"
Western Africa,Tallensi,FE11,Intensive agriculturalist,1934-1937,NA,NA,8 or 9,middle childhood,NA,NA,older boys or youth,NA,Horizontal,Horizontal,NA,NA,NA,teaching by correcting mistakes,Interactive,NA,NA,clay model making,Clay,toy,NA,Both,High,possibility of co-production; not all boys know how to do it,"Fortes, 1938: 60"
Western Africa,Tiv,FF57,Horticulturalists,1949-1952,NA,NA,girl of 7,middle childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimenting,Individual,NA,NA,pottery making,Clay,Utilitarian,NA,F,Low,mostly self-experimenting,"Bohannan and Bohannan, 1958: 381"
Western Africa,Yoruba,FF62,Horticulturalists,1952,workshop,indoor,small boy before 16,NA,1,NA,Adulthood,1,Vertical/Oblique,Vertical/Oblique,father,Kin-based,Kin-based,Watching,Observational,NA,NA,cotton winding,Plant fiber,Utilitarian,NA,M,Low,requires little practice,"Lloyd, 1953: 33"
Western Africa,Yoruba,FF62,Horticulturalists,1952,workshop,indoor,small boy before 16,NA,1,NA,Adulthood,1,Vertical/Oblique,Vertical/Oblique,"father, uncle, brothers",Kin-based,Kin-based,Apprenticeship,Interactive,NA,NA,blacksmithing,Metal,Utilitarian,NA,M,Low,It is possible to do apprenticeship with a non-kin with a fee,"Lloyd, 1953: 33"
Caucasus,Armenia,RJ01,Intensive agriculturalist,NA,NA,NA,girl of 12-15,middle childhood,NA,NA,Adulthood,2,Vertical/Oblique,Vertical/Oblique,"mother, sister-in-law",Kin-based,Kin-based,NA,NA,NA,NA,weaving,Plant fiber,Utilitarian,NA,F,Low,NA,"Villa and Matossian, 1982: 116-117"
Central Asia,Inner Mongolia,AH06,Agro-pastoralists,NA,NA,NA,girls,NA,NA,NA,NA,NA,NA,NA,family members,Kin-based,Kin-based,taught,Interactive,NA,NA,sewing,Plant fiber,Utilitarian,NA,F,Low,NA,"Chang et al., 1956: 269"
Central Asia,Lepcha,AK05,Intensive agriculturalist,1937,NA,NA,Older boys,NA,NA,Older brother or friend,NA,>1,Horizontal,Horizontal,Older brother or friend,Kin-based/familiarity-based,Kin-based/familiarity-based,instruction,Interactive,NA,NA,making bamboo flutes,Plant fiber,NA,NA,M,Low,NA,"Gorer and Hutton, 1938: 309"
Central Asia,Mongolia,AH01,Pastoralists,1919-1920,NA,NA,boys of 6-7,middle childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,horse harnesses making,NA,Utilitarian,NA,M,High,gendered skill,"Maiskii, 1921: 132-133"
East Asia,Okayama,AB43,Intensive agriculturalist,1950-1951,workshop,indoor,NA,NA,2 to 7,NA,Adulthood,1,Oblique,Oblique,Unrelated individuals,Success-based,Success-based,Apprenticeship,Interactive,NA,Difficult,woodworking,Wood,Utilitarian,NA,NA,NA,"Apprentice need to do chores for master as a fee. Other common handicrafts, the sawyer's craft, stonecutting, plastering, cooperage, follow the same apprenticeship pattern with only slight modifications","Cornell, 1956: 143-146"
East Asia,Okinawans,AC07,Intensive agriculturalist,1954-1955,NA,NA,"4- and 5-year-olds, 8 and 9 years old",infancy and early childhood,NA,NA,Older children?Adulthood,NA,Vertical/Oblique/Horizontal,All,brothers,Kin-based,Kin-based,observation and experimenting,Observational,NA,NA,rope making,Plant fiber,Utilitarian,NA,Both,High,NA,"Maretzki, Maretzki, and Whiting: 1963: 510-511"
East Asia,Okinawans,AC07,Intensive agriculturalist,NA,NA,NA,girl of 5 or 6,infancy and early childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,weaving,Plant fiber,Utilitarian,NA,F,Low,NA,"Haring: 1969, 92-93"
East Asia,Yi,AE04,Intensive agriculturalist,1943,NA,NA,girls between childhood and youth,adolescence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sewing, knitting, and embroidery",Plant fiber,Utilitarian,NA,F,High,NA,"Lin and Pan, 1947: 55"
North Asia,Koryaks,RY04,Primarily hunter-gatherers,1900-1901,NA,NA,girls of 10-12,middle childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,helping,NA,NA,NA,clothes making,Plant fiber,Utilitarian,NA,F,Low,NA,"Jochelson,1908: 758"
North Asia,Nivkh,RX02,Primarily hunter-gatherers,NA,NA,NA,girls,NA,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,taught,Interactive,NA,NA,"making thread, sewing and embroidery",Plant fiber,Utilitarian,NA,F,Low,NA,"Black, 1973: 63"
North Asia,Yukaghir,RV03,Primarily hunter-gatherers,"1895-1896, 1901-1902",NA,NA,NA,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,NA,NA,NA,NA,blacksmith,Metal,Utilitarian,NA,M,High,The blacksmith's status is as high as the shanman.,"Jochelson, 1975: 425"
South Asia,Andamans,AZ02,Hunter-gatherers,NA,NA,NA,children,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,play and practice,Observational,NA,NA,canoe making,Wood,Utilitarian,NA,NA,NA,toy canoe making,"Pandya, 1995: 7"
South Asia,Andamans,AZ02,Hunter-gatherers,NA,NA,NA,children,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,play and practice,Observational,NA,NA,bows and arrows,NA,Utilitarian,NA,NA,NA,NA,"Pandya, 1995: 7"
South Asia,Andamans,AZ02,Hunter-gatherers,NA,NA,NA,children,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,play and practice,Observational,NA,NA,net making,NA,Utilitarian,NA,NA,NA,NA,"Pandya, 1995: 7"
South Asia,Bengali,AW69,Intensive agriculturalist,1970-1975,NA,NA,NA,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,NA,NA,NA,NA,woodworking,Wood,Utilitarian,NA,M,Low,The boys prefered to working in factory compared with learning carpentery from their fathers,"Klass, 1978: 209-210"
South Asia,Bhil,AW25,Agro-pastoralists,1943-1954,NA,NA,children,NA,NA,NA,Adulthood,NA,Vertical/Oblique,Vertical/Oblique,elders,NA,NA,"imitation, verbal instruction, co-working",Interactive,NA,NA,rope making,Plant fiber,Utilitarian,NA,NA,NA,NA,"Naik, 1956: 119"
South Asia,Garo,AR05,Horticulturalists,1954-1956,NA,NA,boys after 12,adolescence,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,"formal instruction, demonstration, correction",Interactive,NA,NA,basket weaving,Plant fiber,Utilitarian,NA,NA,NA,No analytical teaching. Co-production exist,"Burling, 1963: 116"
South Asia,Gond,AW32,Other subsistence combinations,"1927-1934, 1940-1941",NA,NA,boys,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,"imitation, play",Observational,NA,NA,carving of ornamental combs,NA,Ritual,NA,NA,NA,NA,"Grigson and Elwin, 1949: 186-187"
South Asia,Gond,AW32,Other subsistence combinations,"1927-1934, 1940-1941",NA,NA,boys,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,"imitation, play",Observational,NA,NA,beadwork,NA,NA,NA,NA,NA,NA,"Grigson and Elwin, 1949: 186-187"
South Asia,Mara,AR20,Horticulturalists,1924-1928,NA,NA,children,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,observation and imitation,Observational,NA,NA,trap making,NA,Utilitarian,NA,NA,NA,NA,"Parry, 1932: 27-29"
South Asia,Mara,AR20,Horticulturalists,1924-1928,NA,NA,girls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taught,Interactive,NA,NA,weaving,Plant fiber,Utilitarian,NA,F,High,NA,"Parry, 1932: 27-29"
South Asia,Santal,AW42,Intensive agriculturalist,1942-1946,NA,NA,boys of 5-6,infancy and early childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flute making,NA,NA,NA,NA,NA,NA,"Arche, 1974: 35"
Southeast Asia,Alorese,OF05,Horticulturalists,1961,NA,NA,girl in preadolescent period,middle childhood,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,taught,Interactive,NA,NA,basket making,Plant fiber,Utilitarian,NA,F,Low,NA,"Du Bois, Kardiner, and Oberholzer, 1944: 56-57"
Southeast Asia,Alorese,OF05,Horticulturalists,1961,NA,NA,girl in preadolescent period,middle childhood,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,taught,Interactive,NA,NA,sewing pandanus mats,Plant fiber,Utilitarian,NA,F,Low,NA,"Du Bois, Kardiner, and Oberholzer, 1944: 56-57"
Southeast Asia,Alorese,OF05,Horticulturalists,1961,NA,NA,girl in preadolescent period,middle childhood,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,taught,Interactive,NA,NA,making bark cloth,Plant fiber,Utilitarian,NA,F,Low,NA,"Du Bois, Kardiner, and Oberholzer, 1944: 56-57"
Southeast Asia,Balinese,OF07,Intensive agriculturalist,1930-1933,NA,NA,little girl,NA,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,NA,NA,NA,NA,weaving,Plant fiber,Utilitarian,NA,F,Low,NA,"Covarrubias, 1938: 133; Belo, 1936: 130"
Southeast Asia,Central Thai,AO07,Intensive agriculturalist,1969-1970,NA,NA,school-age boys,middle childhood,>1,tennage boys,adolescence,>1,Horizontal,Horizontal,Unrelated individuals,Familiarity-based,Familiarity-based,observation and expreimenting,Observational,NA,NA,trap making,NA,Utilitarian,NA,M,Low,NA,"Anderson, 1983: 359-361"
Southeast Asia,Central Thai,AO07,Intensive agriculturalist,1969-1970,NA,NA,NA,NA,NA,older chidren,NA,NA,Horizontal,Horizontal,NA,NA,NA,observation and expreimenting,Observational,NA,NA,the making of play and game equipment,NA,Toy,NA,NA,NA,NA,"Anderson, 1983: 359-361"
Southeast Asia,Eastern Toraja,OG11,Horticulturalists,1892-1932,workshop,indoor,"12, 14 years of age",middle childhood,1,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,"help with preparation, brief instruction",Interactive,NA,NA,blacksmithing,Metal,Utilitarian,NA,M,Low,The son himself must present passion to be taught by the father,"Adriani and Kruijt, 1951a: 624"
Southeast Asia,Eastern Toraja,OG11,Horticulturalists,1892-1932,NA,NA,little girls,NA,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,observation and imitation,Observational,NA,NA,bark cloth making,Plant fiber,Utilitarian,NA,F,Low,NA,"Adriani and Kruijt, 1951a: 622-623"
Southeast Asia,Eastern Toraja,OG11,Horticulturalists,1892-1932,NA,NA,girl,NA,NA,NA,Adulthood,1,Oblique,Oblique,worker,Success-based,Success-based,"imitation, advice and instruction",Interactive,NA,NA,pottery making,Clay,Utilitarian,NA,F,High,men are not forbidden to make pots but it is still a gendered skill,"Adriani and Kruijt, 1951b: 651"
Southeast Asia,Ifugao,OA19,Intensive agriculturalist,NA,NA,NA,NA,NA,NA,NA,"Adulthood and ""older sisters""",NA,Vertical/Oblique,Vertical/Oblique,"mother, sisters",Kin-based,Kin-based,helping and practice under supervision,Interactive,a short period of time,NA,weaving,Plant fiber,Utilitarian,NA,F,High,The weaving tools are made by men.,"Lambrecht, 1958: 1"
Southeast Asia,Ifugao,OA19,Intensive agriculturalist,1937,NA,NA,boys,NA,1,NA,Adulthood,1,Oblique,Oblique,NA,Success-based,Success-based,teach,Interactive,NA,NA,fish hook making,NA,Utilitarian,NA,NA,NA,NA,"Barton, 1938: 44-45"
Southeast Asia,Ifugao,OA19,Intensive agriculturalist,1937,NA,NA,boys,NA,1,NA,Adulthood,1,Oblique,Oblique,NA,Success-based,Success-based,teach,Interactive,NA,NA,crap trap making,NA,Utilitarian,NA,NA,NA,NA,"Barton, 1938: 44-45"
Southeast Asia,Ifugao,OA19,Intensive agriculturalist,1937,NA,NA,boy,NA,1,older boy,NA,1,Horizontal,Horizontal,playmates,Familiarity-based,Familiarity-based,experimenting and correction,Interactive,NA,NA,bird trap making,NA,Utilitarian,NA,M,Low,NA,"Barton, 1938: 43"
Southeast Asia,Javanese,OE05,Intensive agriculturalist,1986-1988,NA,NA,NA,NA,NA,NA,Adulthood,NA,Vertical/Oblique,Vertical/Oblique,parents and grandparents,Kin-based,Kin-based,NA,NA,NA,NA,batik making (cloth dying),Plant fiber,Utilitarian,NA,NA,NA,NA,"Brenner, 1998: 196; Koentjaraningrat, 1985: 242-243"
Southeast Asia,Malays,AN05,Intensive agriculturalist,NA,NA,NA,boys,NA,NA,NA,Adulthood,2,Vertical,Vertical,parents,Kin-based,Kin-based,helping,Interactive,NA,NA,trap making,NA,Utilitarian,NA,M,Low,NA,"Wilkinson, 1920: 12-13"
Southeast Asia,Malays,AN05,Intensive agriculturalist,NA,NA,NA,youths,NA,NA,NA,Adulthood,1,Oblique,Oblique,unrelated individuals,Success-based,Success-based,helping/apprenticeship,Interactive,NA,NA,metal-working,Metal,Utilitarian,NA,NA,NA,The learners need to first show talents,"Wilkinson, 1920: 12-13"
Southeast Asia,Sama-Bajau,OA08,Primarily hunter-gatherers,"1963, 1965-1967, 1977, 1982, 1997",NA,NA,young boy,NA,1,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,helping,Interactive,NA,NA,boat making,Wood,Utilitarian,NA,M,Low,"It is usually an individual project but collaboration is allowed. Common skill as boat is required as bride price. At 14 or 15, they are able to make their first boats","Nimmo, 2000: 51, 53; Jumala, 2011: 107"
Southeast Asia,Sama-Bajau,OA08,Primarily hunter-gatherers,1979,NA,NA,girls in late childhood,middle childhood,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,NA,NA,NA,NA,mat weaving,Plant fiber,Utilitarian,NA,F,Low,gendered skill,"Teo, 1989: 107, 76"
Southeast Asia,Sama-Bajau,OA08,Primarily hunter-gatherers,1979,NA,NA,boys in late childhood,middle childhood,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,taught,Interactive,NA,NA,net weaving,Plant fiber,Utilitarian,NA,M,Low,gendered skill,"Teo, 1989: 107, 76"
Southeast Asia,Sama-Bajau,OA08,Primarily hunter-gatherers,1979,NA,NA,boys in late childhood,middle childhood,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,taught,Interactive,NA,NA,fish trap making,NA,Utilitarian,NA,M,Low,gendered skill,"Teo, 1989: 107, 76"
Southeast Asia,Sama-Bajau,OA08,Primarily hunter-gatherers,1979,NA,NA,boys in late childhood,middle childhood,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,taught,Interactive,NA,NA,Woodworking,Wood,Utilitarian,NA,M,Low,gendered skill,"Teo, 1989: 107, 76"
Southeast Asia,Sama-Bajau,OA08,Primarily hunter-gatherers,1979,NA,NA,boys in late childhood,middle childhood,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,taught,Interactive,NA,NA,basket making,NA,Utilitarian,NA,M,Low,gendered skill,"Teo, 1989: 107, 76"
Southeast Asia,Semai,AN06,Horticulturalists,"1962-1963, 1975",NA,NA,NA,NA,NA,NA,Adulthood,NA,Vertical/Oblique,Vertical/Oblique,"parents, grandparents",Kin-based,Kin-based,"imitation, explicit instruction, play",Interactive,NA,NA,a small version of the appropriate tool,NA,Utilitarian,NA,NA,NA,NA,"Dentan, 1978: 126"
Southeast Asia,Semai,AN06,Horticulturalists,1977-1981,NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,older members of the same sex,Success-based,Success-based,NA,NA,NA,NA,blowpipe making,Plant fiber,Utilitarian,NA,M,Low,NA,"Howell, 1984: 46-47"
Southeast Asia,Semai,AN06,Horticulturalists,1977-1981,NA,NA,girls,NA,NA,NA,NA,NA,NA,NA,older members of the same sex,Success-based,Success-based,NA,NA,NA,NA,mat and bag making,Plant fiber,Utilitarian,NA,F,Low,NA,"Howell, 1984: 46-47"
Southeast Asia,Vietnamese,AM11,Intensive agriculturalist,"1958-1959, 1962-1964",NA,NA,NA,NA,NA,NA,Adulthood,1,Vertical/Oblique,Vertical/Oblique,"father-son, uncle-nephew",Kin-based,Kin-based,Apprenticeship,Interactive,NA,NA,woodworking,Wood,Utilitarian,NA,M,Low,It is possible to do apprenticeship with a non-kin in another village,"Hickey, 1964: 165-166"
