Area,Society,OWC_Code,Subsistence,Year of observation,Location,Location(type),Age of learner,Age group of learner,Number of learner,Age of model,Age group of model,Number of model,Transmission modes,Transmission modes1,Social relationship,Transmission bias,Transmission bias1,Learning process,Learning process(type),Time spent,Perceived difficulty,Technology,Raw material,Function,Access to raw material,Genderedness,Confidence level of generedness judgement,Note,Reference
Eastern Africa,Luguru,FN32,Horticulturalists,NA,hut,indoor,girl of 15,adolescence,1,NA,Adulthood,>1,Vertical/Oblique,Vertical/Oblique,"aunts, mother",Kin-based,Kin-based,"taught, imitation",Interactive,3 years,NA,pottery making,Clay,Utilitarian,NA,F,Low,Coming of age,"Hamdani, 2001: 11-12"
Eastern Africa,Luguru,FN32,Horticulturalists,NA,hut,indoor,girl of 15,adolescence,1,NA,Adulthood,>1,Vertical/Oblique,Vertical/Oblique,"aunts, mother",Kin-based,Kin-based,"taught, imitation",Interactive,3 years,NA,caps making,NA,Utilitarian,NA,F,Low,Coming of age,"Hamdani, 2001: 11-12"
Eastern Africa,Luguru,FN32,Horticulturalists,NA,hut,indoor,girl of 15,adolescence,1,NA,Adulthood,>1,Vertical/Oblique,Vertical/Oblique,"aunts, mother",Kin-based,Kin-based,"taught, imitation",Interactive,3 years,NA,Bark cloth making,Plant fiber,Utilitarian,NA,F,Low,Coming of age,"Hamdani, 2001: 11-12"
Eastern Africa,Nuba,FJ21,Intensive agriculturalist,1938-1941,factory close to clay source but with some distance from the homesteads,outdoor field,"grown-up women, daughter",adulthood,NA,NA,Adulthood,NA,Vertical/Horizontal,Vertical/Horizontal,"Expert, mother",Kin-based/Success-based,Mixed,"watch, help and instruction",Interactive,NA,NA,pottery making,Clay,Utilitarian,NA,F,High,Different tribes or even different hill communities of the same tribe often specialize in different kinds of pots,"Nadel, 1947: 71-72"
Eastern Africa,Okiek,FL20,Hunter-gatherers,1938-1939,NA,NA,boy before puberty,middle childhood,>1,NA,Adulthood,2,Vertical/Oblique,Vertical/Oblique,"father, paternal uncle",Kin-based,Kin-based,teach,Interactive,NA,NA,woodworking(honey-barrels),Wood,Utilitarian,NA,M,Low,NA,"Huntingford, 1951: 27, 29-30"
Eastern Africa,Turkana,FL17,Pastoralists,1948-1949,NA,NA,boy,NA,1,older sibling or an adult,Adulthood,NA,Vertical/Horizontal,Vertical/Horizontal,older sibling or an adult,Kin-based,Kin-based,taught,Interactive,NA,NA,woodworking,Wood,Utilitarian,NA,M,Low,NA,"Gulliver, 1951: 190A"
Eastern Africa,Turkana,FL17,Pastoralists,1948-1949,NA,NA,girls before 10,middle childhood,NA,NA,Adulthood,>1,Vertical/Oblique,Vertical/Oblique,mother and mother's co-wives,Kin-based,Kin-based,direct tutelage,Interactive,NA,NA,clothes making,NA,Utilitarian,NA,F,Low,NA,"Gulliver, 1951: 191A-191B"
Eastern Africa,Turkana,FL17,Pastoralists,1948-1949,NA,NA,girls before 10,middle childhood,NA,NA,Adulthood,>1,Vertical/Oblique,Vertical/Oblique,mother and mother's co-wives,Kin-based,Kin-based,direct tutelage,Interactive,NA,NA,beadwork,NA,NA,NA,F,Low,NA,"Gulliver, 1951: 191A-191B"
Eastern Africa,Turkana,FL17,Pastoralists,1948-1949,NA,NA,girls before 10,middle childhood,NA,NA,Adulthood,>1,Vertical/Oblique,Vertical/Oblique,mother and mother's co-wives,Kin-based,Kin-based,direct tutelage,Interactive,NA,NA,vessel making,NA,Utilitarian,NA,F,Low,NA,"Gulliver, 1951: 191A-191B"
Northern Africa,Berbers of Morocco,MX03,Agro-pastoralists,1926-1927,her house,indoor,girl,NA,1,NA,NA,>1,NA,NA,Experts,Success-based,Success-based,instruction,Interactive,NA,NA,weaving,Plant fiber,Utilitarian,NA,F,Low,The instruction is in the form of party,"Coon, 1931: 77"
